index,area,municipality,residents,unemployment,immigrants,convicted,education,income,criterias,unemploymentCriteria,immigrantsCriteria,convictedCriteria,educationCriteria,incomeCriteria,ghetto,year,missingData
176,Århus Vest,Aarhus,3873,34.0073335840542,46.1399431964885,2.4519315575939,44.5180279617366,62.6942220438201,0,0,0,0,0,0,0,2014,0
177,Vorrevangen,Aarhus,2061,38.6861393323657,23.9183276616432,2.2974607013301,38.5620915032680,70.6991766923456,0,0,0,0,0,0,0,2014,0
178,Vejlby Vest,Aarhus,1137,39.9171270718232,29.1996481970097,2.7827116637063,36.4806866952790,71.3161280631972,1,0,0,1,0,0,0,2014,0
179,Vejlby Vænge & Vejlby Toften m.fl,Aarhus,1207,28.3417402269861,8.2987551867220,1.6384180790961,22.9249011857708,83.8549665456197,0,0,0,0,0,0,0,2014,0
180,Tousparken/Henrik Hertz Vej/Anker Jensens Vej,Aarhus,1135,33.6830892143808,24.7577092511013,1.8827326519634,33.7995337995338,73.1323491286088,0,0,0,0,0,0,0,2014,0
181,Skovgårdsparken,Aarhus,1487,39.3666306695464,65.5010087424344,2.2518382352941,49.6788008565310,61.8937505982856,1,0,1,0,0,0,0,2014,0
182,Gellerupparken/Toveshøj,Aarhus,6652,52.3000000000000,80.0000000000000,4.7600000000000,57.1000000000000,52.1000000000000,5,1,1,1,1,1,1,2014,0
184,Langkærparken,Aarhus,2013,40.3394495412844,51.5648286140089,1.8588640275387,47.6863753213368,67.0196848496565,2,1,1,0,0,0,0,2014,0
185,Trigeparken,Aarhus,1083,46.2000000000000,34.7000000000000,3.2700000000000,55.8000000000000,62.8000000000000,3,1,0,1,1,0,1,2014,0
186,Havrevej,Thisted,1136,43.0987903225806,28.3450704225352,1.3577331759150,59.1743119266055,62.2942076814959,2,1,0,0,1,0,0,2014,0
187,Ellekonebakken,Viborg,977,48.9720447284345,39.8157625383828,2.8118240807498,57.4412532637076,57.8723376232415,3,1,0,1,1,0,0,2014,0
188,Houlkærvænget,Viborg,1007,51.2051282051282,33.5650446871897,2.0669992872416,54.7677261613692,61.7737218699431,2,1,0,0,1,0,0,2014,0
189,Mølleparken,Frederikshavn,1112,39.5810810810811,14.4784172661870,1.7112299465241,47.0731707317073,70.3050263882129,0,0,0,0,0,0,0,2014,0
190,Sjællandsgade-kvarteret,Aalborg,3046,32.2405366554863,17.5427069645204,1.3182324545117,35.1532567049808,73.6218934658126,0,0,0,0,0,0,0,2014,0
191,Kastetvej,Aalborg,1159,33.8393316195373,3.6363636363636,1.2974976830399,38.0743982494530,75.2308358972233,0,0,0,0,0,0,0,2014,0
192,Grønlands-kvarteret,Aalborg,2081,37.6116243264049,20.9055876685934,1.6491754122939,42.3913043478261,68.1608480109919,0,0,0,0,0,0,0,2014,0
193,Beatesminde-området,Aalborg,1432,39.7314814814815,21.0195530726257,0.9678838539375,42.0454545454545,68.8481193191323,0,0,0,0,0,0,0,2014,0
194,"Blå-, Fyr-, Ravn- og Hvidkildevej i alt",Aalborg,2192,37.4825834542816,28.9233576642336,2.3155805491234,54.3814432989691,63.6824129708987,1,0,0,0,1,0,0,2014,0
195,Skallerupvej/Saltumvej,Aalborg,801,46.8034188034188,29.5880149812734,3.3213644524237,57.8014184397163,61.4862753412208,3,1,0,1,1,0,0,2014,0
196,Løvvangen,Aalborg,1524,45.7447744774477,47.2440944881890,2.5053995680346,54.5757071547421,61.7647180207068,2,1,0,0,1,0,0,2014,0
197,Skelagergårdene/Hasserisvænget,Aalborg,1036,34.4451438848921,22.2972972972973,1.1564625850340,38.0281690140845,73.4462956480061,0,0,0,0,0,0,0,2014,0
198,Sebbersundvej mv,Aalborg,1195,48.3000000000000,21.3000000000000,3.8600000000000,60.8000000000000,61.0000000000000,3,1,0,1,1,0,1,2014,0
199,Salllingsundvej m.fl,Aalborg,1709,37.3417508417508,7.3313782991202,1.4776505356483,43.0093209054594,71.3168165299844,0,0,0,0,0,0,0,2014,0
200,"Vestbyen, Hjørring i alt",Hjørring,908,47.9677002583979,30.6167400881057,0.3543586109142,50.8064516129032,65.0671091914599,2,1,0,0,1,0,0,2014,0
1,Christiansmindevej-området,København,1152,26.6588541666667,16.0590277777778,2.6709401709402,27.9260780287474,75.2610462576710,0,0,0,0,0,0,0,2015,0
2,Lundevænget/Ryparken II,København,1165,35.7516697024894,49.8712446351931,2.4555903866249,48.1684981684982,59.8502028205753,0,0,0,0,0,0,0,2015,0
3,Emdrup,København,1728,28.3720817120623,18.9924724956572,2.8794880910060,33.1259720062208,72.2074052077724,1,0,0,1,0,0,0,2015,0
4,Jagtvej,København,1113,36.5868794326241,28.5714285714286,3.2511798636602,37.5478927203065,60.7690100552174,1,0,0,1,0,0,0,2015,0
5,Blågården,København,2489,33.0834454912517,59.7830453997589,2.2001205545509,41.3756613756614,58.4239384121876,1,0,1,0,0,0,0,2015,0
6,Ågården,København,932,28.6370431893688,55.0429184549356,2.2310756972112,33.9572192513369,60.5271601580300,1,0,1,0,0,0,0,2015,0
7,Lundtoftegade,København,1485,38.5000000000000,51.9000000000000,2.2200000000000,46.1000000000000,55.4000000000000,1,0,1,0,0,0,0,2015,0
8,Aldersrogade,København,2303,37.5000000000000,74.0000000000000,2.3600000000000,43.8000000000000,51.9000000000000,2,0,1,0,0,1,0,2015,0
9,Mjølnerparken,København,1828,43.5000000000000,84.3000000000000,2.4200000000000,54.3000000000000,47.5000000000000,4,1,1,0,1,1,1,2015,0
10,Frederiksholm,København,4415,37.0657320872274,27.9048697621744,3.3808553971487,44.3192948090108,59.9608491710498,1,0,0,1,0,0,0,2015,0
11,Handelsvej-kvarteret,København,853,31.0537534754402,52.0515826494725,1.1226944667201,46.7032967032967,59.9259327077409,1,0,1,0,0,0,0,2015,0
12,Folehaven,København,1993,33.6873350923483,41.4952333166081,2.6333789329685,46.7496542185339,61.6636947687624,0,0,0,0,0,0,0,2015,0
13,Sjælør Boulevard,København,1240,33.4000000000000,57.2000000000000,2.3300000000000,51.3000000000000,57.5000000000000,2,0,1,0,1,0,0,2015,0
14,Akacieparken,København,1088,33.5553822152886,57.3529411764706,2.5316455696203,42.5531914893617,62.5087921533757,1,0,1,0,0,0,0,2015,0
15,Bellahøj,København,2838,34.4009184033910,43.4108527131783,1.8051434223541,42.5742574257426,64.5254929672193,0,0,0,0,0,0,0,2015,0
16,Gadelandet/Husumgård,København,1061,33.3000000000000,69.4000000000000,2.1200000000000,53.3000000000000,55.2000000000000,2,0,1,0,1,0,0,2015,0
17,Tingbjerg/Utterslevhuse,København,6709,29.2000000000000,72.5000000000000,2.0700000000000,58.8000000000000,52.3000000000000,3,0,1,0,1,1,1,2015,0
18,Glumsøparken mv,København,2226,37.4183238636364,22.7313566936208,2.9235186635343,43.4108527131783,61.9941837665923,1,0,0,1,0,0,0,2015,0
19,Bispeparken,København,1657,30.2000000000000,59.6000000000000,1.8900000000000,53.1000000000000,55.0000000000000,2,0,1,0,1,0,0,2015,0
20,Bispevænget mv,København,2873,38.8084042021011,38.1830838844414,2.7912877986889,44.6683459277918,56.5149236979021,1,0,0,1,0,0,0,2015,0
21,Stærevej mv,København,1094,33.2000000000000,34.3000000000000,3.9100000000000,51.7000000000000,54.9000000000000,3,0,0,1,1,1,1,2015,0
22,Degnegården mv,København,1114,35.2000000000000,54.0000000000000,2.6400000000000,50.0000000000000,54.1000000000000,2,0,1,0,0,1,0,2015,0
23,Kantorparken,København,1068,39.0948905109489,28.1835205992509,3.1212484993998,39.5196506550218,61.8914078789502,1,0,0,1,0,0,0,2015,0
24,Hørgården,København,1591,34.3197871311079,52.4827152734129,2.1828665568369,48.4114977307110,60.0434878014143,1,0,1,0,0,0,0,2015,0
25,Gullandsgården mv,København,1201,34.4126370083817,46.2114904246461,2.2080185938408,41.5770609318996,63.5897067770236,0,0,0,0,0,0,0,2015,0
26,Abildgården mv,København,1542,35.8020589611605,26.5888456549935,3.3760186263097,41.4454277286136,62.1240834188922,1,0,0,1,0,0,0,2015,0
27,Remisevænget,København,3471,35.3002604783329,42.8694900605013,2.5920360631104,47.0982142857143,60.8243130884819,0,0,0,0,0,0,0,2015,0
28,Stjernen,Frederiksberg,1450,37.7065592635213,50.4827586206897,2.0192748967416,41.2429378531073,62.0386672052700,1,0,1,0,0,0,0,2015,0
29,Vængerne,Ballerup,2041,32.4114722753346,17.8343949044586,1.7032332563510,42.9262394195889,67.0391821574537,0,0,0,0,0,0,0,2015,0
30,Skovlunde Midt,Ballerup,5052,24.9557030129125,15.4486036838978,1.2103055721989,34.1604154645124,73.9168424191706,0,0,0,0,0,0,0,2015,0
31,Baltorpvej,Ballerup,2488,30.0974140984768,22.0659163987138,1.7039922103213,41.0926365795724,68.4300956904686,0,0,0,0,0,0,0,2015,0
32,Hedeparken,Ballerup,3957,27.8466050078953,24.1344452868335,1.5629933691190,38.3144475920680,70.8153428753178,0,0,0,0,0,0,0,2015,0
33,Grantoften,Ballerup,3067,27.9449906989104,15.7482882295403,1.6345723242275,38.1219903691814,71.9082797213896,0,0,0,0,0,0,0,2015,0
34,Lundegaarden I & II,Ballerup,1788,16.4861963190184,6.6554809843400,0.9156810377718,24.2816091954023,90.1591084052935,0,0,0,0,0,0,0,2015,0
35,Brøndbyøster Torv,Brøndby,3353,22.5516587677725,12.8839844915002,1.8891916439600,35.5365474339036,75.4577003612746,0,0,0,0,0,0,0,2015,0
36,Kærene - Brøndby,Brøndby,2040,26.0666137985726,23.0392156862745,1.8550228310502,45.2506596306069,69.9296854093103,0,0,0,0,0,0,0,2015,0
37,Maglelund/Daruplund,Brøndby,1335,28.0941247002398,20.5992509363296,2.1830004644682,42.8835489833641,72.3145640673583,0,0,0,0,0,0,0,2015,0
38,Brøndby Nord,Brøndby,2630,27.5061199510404,34.1444866920152,2.3199023199023,46.8599033816425,65.5810683051392,0,0,0,0,0,0,0,2015,0
39,Brøndby Strand,Brøndby,7452,30.9354438936458,56.9645732689211,1.9143719351188,49.3264248704663,61.5518865849205,1,0,1,0,0,0,0,2015,0
40,Pileparken,Gladsaxe,1397,30.4604952830189,24.8389405869721,1.4356213548677,39.5348837209302,67.8189714227901,0,0,0,0,0,0,0,2015,0
41,Marielyst,Gladsaxe,1035,21.8556366585564,6.9565217391304,1.4589665653495,24.7641509433962,80.0708304290585,0,0,0,0,0,0,0,2015,0
42,Torveparken/Torvegård,Gladsaxe,1210,20.0822320117474,10.3305785123967,1.1966701352758,30.1518438177874,82.6130936362943,0,0,0,0,0,0,0,2015,0
43,Kildeparken/Kildevænget,Gladsaxe,1436,21.8083714846305,10.0278551532033,1.6963528413910,23.3791748526523,78.7713372470482,0,0,0,0,0,0,0,2015,0
44,Høje Gladsaxe,Gladsaxe,4049,28.4826289001992,44.8011854778958,1.6212710765240,39.6414342629482,66.4632967936124,0,0,0,0,0,0,0,2015,0
45,Værebroparken,Gladsaxe,2942,27.7451768488746,47.6206662134602,2.0093457943925,50.2811244979920,61.4494359640558,1,0,0,0,1,0,0,2015,0
46,Glostrup Vestergård,Glostrup,1591,28.9597352454495,32.9352608422376,1.4147130153597,46.1049284578696,69.7556173858742,0,0,0,0,0,0,0,2015,0
47,Stadionkvarteret,Glostrup,1817,25.7548837209302,16.5657677490369,2.2699004975124,42.7304964539007,68.4896982715410,0,0,0,0,0,0,0,2015,0
48,Syd for Herlev Hovedgade,Herlev,2022,24.6185522323364,26.2116716122651,1.5165876777251,37.2928176795580,71.6815244961711,0,0,0,0,0,0,0,2015,0
49,Omkring Højbjergvej,Herlev,2275,20.4904181184669,13.2747252747253,0.8029008029008,30.2509907529723,82.0004423720188,0,0,0,0,0,0,0,2015,0
50,Hjortespring,Herlev,4356,26.2298631560714,27.0431588613407,1.9917266738165,39.3561786085151,71.8333651481472,0,0,0,0,0,0,0,2015,0
51,Solhusene/Banehegnet/Blokland,Albertslund,1113,33.3755458515284,30.3330333033303,1.7534246575343,48.7671232876712,63.9100529785885,0,0,0,0,0,0,0,2015,0
52,Albertslund Syd,Albertslund,4224,27.8272969101698,29.1193181818182,1.6401273885350,41.3081909251621,70.4374208029859,0,0,0,0,0,0,0,2015,0
53,Albertslund Vest,Albertslund,838,18.9785310734463,6.1077844311377,0.6423982869379,30.6122448979592,81.1629130673005,0,0,0,0,0,0,0,2015,0
54,Hedemarken,Albertslund,1741,39.4000000000000,52.8000000000000,2.0300000000000,58.4000000000000,58.2000000000000,2,0,1,0,1,0,0,2015,0
55,Albertslund Nord,Albertslund,1532,28.8213507625272,56.3315926892950,1.6415261756877,49.7427101200686,62.0523839108801,1,0,1,0,0,0,0,2015,0
56,Galgebakken,Albertslund,1504,20.6908417151932,7.3138297872340,2.1039072563332,23.1858407079646,82.6203256965728,0,0,0,0,0,0,0,2015,0
57,Sønderkærgården,Hvidovre,1912,27.2245852828584,12.9184100418410,2.1890862944162,34.5930232558140,71.6428338507875,0,0,0,0,0,0,0,2015,0
58,Bredalsparken,Hvidovre,2343,25.5828759604830,7.2556551429791,1.5893694632621,34.8612786489747,77.6596303379858,0,0,0,0,0,0,0,2015,0
59,Friheden,Hvidovre,2040,29.6052958212660,16.4705882352941,2.7457927369353,40.1084010840108,67.2295106474493,1,0,0,1,0,0,0,2015,0
60,Rosenhøj,Hvidovre,999,25.3459879206212,19.6196196196196,1.3636363636364,41.6666666666667,73.9389182500540,0,0,0,0,0,0,0,2015,0
61,Egevolden/Frydenhøjparken,Hvidovre,1453,25.2685851318945,27.4604267033723,1.3078000934143,39.7868561278863,71.5981619876073,0,0,0,0,0,0,0,2015,0
62,Avedøre Stationsby,Hvidovre,5444,24.9937776548673,35.7457751653196,1.9906610960924,41.7737789203085,71.0355732034315,0,0,0,0,0,0,0,2015,0
63,Parkvej,Høje-Taastrup,1033,35.6038961038961,34.9467570183930,2.0612117426608,54.1772151898734,62.5102005795782,1,0,0,0,1,0,0,2015,0
64,Blåkildegård,Høje-Taastrup,984,32.3660933660934,27.7439024390244,1.5460295151089,41.3436692506460,68.1176429547202,0,0,0,0,0,0,0,2015,0
65,Tåstrupgård,Høje-Taastrup,2626,32.6000000000000,65.4000000000000,2.4200000000000,68.5000000000000,51.9000000000000,3,0,1,0,1,1,1,2015,0
66,Charlotteager,Høje-Taastrup,1741,39.7000000000000,52.6000000000000,2.9300000000000,59.5000000000000,55.6000000000000,3,0,1,1,1,0,1,2015,0
67,Gadehavegård,Høje-Taastrup,2142,42.6000000000000,57.0000000000000,2.7100000000000,59.8000000000000,54.8000000000000,5,1,1,1,1,1,1,2015,0
68,Torstorp,Høje-Taastrup,2136,28.9685341519570,19.1011235955056,1.4743589743590,41.1214953271028,70.3799120045967,0,0,0,0,0,0,0,2015,0
69,Carlshøj,Lyngby-Taarbæk,579,19.0312500000000,12.7806563039724,0.9625668449198,30.7317073170732,80.1221923569515,0,0,0,0,0,0,0,2015,0
70,Sorgenfrivang,Lyngby-Taarbæk,1277,19.8274147727273,14.9136577708006,0.9134615384615,24.4131455399061,77.7028712088796,0,0,0,0,0,0,0,2015,0
71,Fortunen,Lyngby-Taarbæk,2783,23.5219254863172,20.8408192597916,0.8936755270394,27.7393879565647,77.5966005020141,0,0,0,0,0,0,0,2015,0
72,Lundtofteparken,Lyngby-Taarbæk,1253,26.5682432432432,34.7166799680766,2.0645844362096,34.6855983772819,68.8371425795163,0,0,0,0,0,0,0,2015,0
73,Bybjerget/Valhøjgården mv,Rødovre,3017,28.2339338531863,25.5968169761273,1.6796136888516,41.4211438474870,67.6765473349425,0,0,0,0,0,0,0,2015,0
74,Islevtoften/Islevvænget mv,Rødovre,1868,21.3191389798783,13.7044967880086,1.9074531967503,31.4171122994652,78.4581561130041,0,0,0,0,0,0,0,2015,0
75,Carlsro,Rødovre,1528,28.2431192660550,11.7801047120419,2.0662768031189,38.7791741472172,71.2940953898894,0,0,0,0,0,0,0,2015,0
76,Kærene - Rødovre,Rødovre,2168,29.5728395061728,32.1033210332103,1.6637478108581,37.2750642673522,67.0800492054352,0,0,0,0,0,0,0,2015,0
77,Vildtbanegård I & II,Ishøj,3131,29.5625635808749,34.3021398914085,1.6751157152303,47.7289650037230,66.6454127580634,0,0,0,0,0,0,0,2015,0
78,Vejleåparken,Ishøj,4973,30.4000000000000,57.0000000000000,2.3000000000000,57.9000000000000,59.5000000000000,2,0,1,0,1,0,0,2015,0
79,Gadekæret,Ishøj,1354,22.3234953703704,8.4194977843427,0.9538152610442,37.3109243697479,77.4424624942563,0,0,0,0,0,0,0,2015,0
80,Postparken/Televang,Ishøj,1021,20.1021775544389,11.7531831537708,1.1042944785276,35.5498721227622,74.4301592989301,0,0,0,0,0,0,0,2015,0
81,Alleen/Kastruplundgade-området,Tårnby,2107,24.4794841735053,10.4888467014713,1.2065498419994,34.7553324968632,74.3147772819723,0,0,0,0,0,0,0,2015,0
82,Tårnbyparken I-II,Tårnby,1401,20.1496894409938,11.2776588151320,0.9927797833935,33.2673267326733,77.3604518358000,0,0,0,0,0,0,0,2015,0
83,Skottegården,Tårnby,1371,26.2148337595908,12.7644055433990,1.6949152542373,36.8110236220472,72.5632390831953,0,0,0,0,0,0,0,2015,0
84,Allegården,Tårnby,1996,24.0601777059774,13.0761523046092,1.4934660858743,37.8413524057217,72.8180385789527,0,0,0,0,0,0,0,2015,0
85,Farum Midtpunkt,Furesø,3058,26.6228780360407,25.1471550032701,1.5688032272524,41.4652014652015,69.9435524750330,0,0,0,0,0,0,0,2015,0
86,Uglevang/Ørnevang,Allerød,1176,25.3700305810398,26.6156462585034,0.3607937462417,30.4250559284116,73.1132913565409,0,0,0,0,0,0,0,2015,0
87,Egedalsvænge mv,Fredensborg,2667,30.1994002998501,38.8826396700413,2.0129032258065,43.8032166508988,65.6729488712136,0,0,0,0,0,0,0,2015,0
88,Niverød,Fredensborg,1199,27.9604863221885,15.4295246038365,1.4092777451556,33.4745762711864,76.5357675287139,0,0,0,0,0,0,0,2015,0
89,Nivåhøj,Fredensborg,1507,40.0000000000000,47.3000000000000,2.8800000000000,58.8000000000000,58.0000000000000,2,0,0,1,1,0,0,2015,0
90,Kingosvej/Bllichersvej mv,Helsingør,2028,30.3403786878027,18.7252964426877,1.2430080795525,38.8418079096045,67.9409568660139,0,0,0,0,0,0,0,2015,0
91,Helsingør Syd,Helsingør,5787,37.2463276836158,33.6098151028167,2.9993024877935,49.5331258337039,60.4444243544564,1,0,0,1,0,0,0,2015,0
92,Kongevænget,Helsingør,1652,36.0539239287434,34.3825665859564,1.6256773655690,43.3048433048433,64.3756723403024,0,0,0,0,0,0,0,2015,0
93,Ådalsparken,Hørsholm,1568,27.8013165769001,20.5357142857143,0.8753647353064,30.2284710017575,73.5445037360761,0,0,0,0,0,0,0,2015,0
94,Skoleparken mv,Rudersdal,1045,24.0069444444444,12.2958693563881,0.4901960784314,26.9473684210526,77.0283871701202,0,0,0,0,0,0,0,2015,0
95,Nærumvænge/Nærumhuse,Rudersdal,1006,12.3342696629214,7.1784646061815,0.5420054200542,22.1662468513854,89.7844542176376,0,0,0,0,0,0,0,2015,0
96,Gersagerparken,Greve,2144,34.1715875053487,31.9962686567164,1.9691002726447,43.0894308943089,72.2518826648033,0,0,0,0,0,0,0,2015,0
97,Askerød,Greve,1528,30.5000000000000,51.9000000000000,2.8700000000000,52.4000000000000,68.0000000000000,3,0,1,1,1,0,1,2015,0
98,Tjur- og Tejstgården,Greve,1010,19.3829457364341,4.0594059405941,1.8264840182648,34.4110854503464,86.5584935590179,0,0,0,0,0,0,0,2015,0
99,Bøgehegnet/Greveflex mv,Greve,1784,26.4962002682164,12.0157215047726,1.1441647597254,31.1914323962517,83.9977279117788,0,0,0,0,0,0,0,2015,0
100,Ellemarken,Køge,2072,33.5902698593691,33.5907335907336,1.6641901931649,50.6666666666667,69.2958373744513,1,0,0,0,1,0,0,2015,0
101,Karlemoseparken,Køge,1467,42.3000000000000,52.7000000000000,2.4100000000000,53.0000000000000,63.4000000000000,3,1,1,0,1,0,1,2015,0
102,Hastrupparken/Hastrupvænget mv,Køge,1954,37.8339222614841,20.8610968733983,1.7906336088154,44.5366528354080,71.3524884806982,0,0,0,0,0,0,0,2015,0
103,Holmebækhuse/Nonnebanken/Præstebanken,Køge,963,31.2331055429005,3.8541666666667,1.3297872340426,45.3658536585366,74.5679315769994,0,0,0,0,0,0,0,2015,0
104,Maglehøj,Halsnæs,466,44.8232484076433,39.2703862660944,4.4973544973545,57.2254335260116,55.6884962929024,3,1,0,1,1,0,0,2015,0
105,Fælledvej-området,Roskilde,1279,35.7214554579674,29.9452697419859,2.3323615160350,38.2409177820268,72.4786094398204,0,0,0,0,0,0,0,2015,0
106,Ringparken/Vognmandsparken/Bakkegården,Roskilde,1742,33.3386508659982,27.2675086107922,2.3508137432188,39.7435897435897,71.6914384512741,0,0,0,0,0,0,0,2015,0
107,Rønnebærparken/Æblehaven,Roskilde,1499,42.0000000000000,44.5000000000000,3.3500000000000,53.5000000000000,61.0000000000000,3,1,0,1,1,0,1,2015,0
108,Bøgeholmen/Egeholmen/Birkeholmen,Solrød,998,33.9096234309623,19.0380761523046,2.0000000000000,41.9847328244275,72.5774719918662,0,0,0,0,0,0,0,2015,0
109,Agervang,Holbæk,1448,48.0000000000000,55.4000000000000,3.2200000000000,60.2000000000000,54.7000000000000,5,1,1,1,1,1,1,2015,0
110,Ladegårdsparken,Holbæk,1191,42.8000000000000,34.2000000000000,2.3000000000000,54.9000000000000,61.1000000000000,2,1,0,0,1,0,0,2015,0
111,Knudskovparken,Holbæk,1348,33.3615077098801,6.7507418397626,0.9968282736747,34.9264705882353,72.9966733708352,0,0,0,0,0,0,0,2015,0
112,Sønderpark,Ringsted,973,42.3830645161290,62.0760534429599,1.7934002869441,56.3131313131313,59.0147605828089,3,1,1,0,1,0,0,2015,0
113,"Ringparken, Slagelse i alt",Slagelse,1949,46.1000000000000,55.6000000000000,3.0300000000000,56.6000000000000,52.5000000000000,5,1,1,1,1,1,1,2015,0
114,Sydbyen,Slagelse,718,47.4224422442244,38.5793871866295,1.7786561264822,56.8421052631579,56.1128746326402,2,1,0,0,1,0,0,2015,0
115,Motalavej,Slagelse,1570,47.0000000000000,44.2000000000000,3.7100000000000,63.6000000000000,52.2000000000000,4,1,0,1,1,1,1,2015,0
116,Birkevænget/Nørrevænget,Lolland,802,56.5221932114883,35.2867830423940,1.7346053772767,56.0975609756098,56.6514929361209,2,1,0,0,1,0,0,2015,0
117,Vandtårnsparken mv,Næstved,1003,40.1345353675451,24.5264207377866,2.1971496437055,48.2323232323232,59.7591561551264,1,1,0,0,0,0,0,2015,0
118,Pilegården mv,Næstved,1129,37.0497991967871,10.7460035523979,0.7647058823529,40.7202216066482,67.0159526642314,0,0,0,0,0,0,0,2015,0
119,Birkegården,Næstved,781,44.4221311475410,15.3649167733675,1.0948905109489,50.4672897196262,65.5463708191552,2,1,0,0,1,0,0,2015,0
120,Lindholm,Guldborgsund,1470,48.5000000000000,42.7000000000000,1.3000000000000,52.8000000000000,55.8000000000000,2,1,0,0,1,0,0,2015,0
121,Mosegårdsparken mv,Odense,1264,30.0703753351206,13.6038186157518,0.9057971014493,35.9408033826639,77.2605056661082,0,0,0,0,0,0,0,2015,0
122,Højstrupvej-kvarteret,Odense,1542,37.5247181266262,27.1725032425422,2.6802567006418,43.7400950871632,63.3469363078018,0,0,0,0,0,0,0,2015,0
123,Solbakken mv,Odense,1255,43.9000000000000,48.4000000000000,2.5200000000000,50.7000000000000,58.9000000000000,2,1,0,0,1,0,0,2015,0
124,Højemarksvej-kvarteret,Odense,954,39.8865900383142,24.9737670514166,2.0512820512821,44.0633245382586,63.8808385497570,0,0,0,0,0,0,0,2015,0
125,Jacob Hansens Vej,Odense,943,41.3984674329502,18.4517497348887,1.9740900678594,46.3806970509383,66.3364400361757,1,1,0,0,0,0,0,2015,0
126,Ejerslykke,Odense,1185,43.2775214238629,44.2194092827004,2.0354906054280,47.7272727272727,61.5887303241545,1,1,0,0,0,0,0,2015,0
127,Korsløkkeparken Øst,Odense,2281,43.3000000000000,58.3000000000000,2.2300000000000,44.3000000000000,59.4000000000000,2,1,1,0,0,0,0,2015,0
128,Stærmosegårdsparken/Rødegårdsparken,Odense,847,42.9405785770133,42.9752066115703,3.8575667655786,50.5263157894737,61.1847173376133,3,1,0,1,1,0,0,2015,0
129,Vollsmose,Odense,9134,51.9000000000000,67.4000000000000,3.0400000000000,58.0000000000000,53.4000000000000,5,1,1,1,1,1,1,2015,0
132,Dianavænget/Heliosvænget,Odense,911,48.6775431861804,44.8957189901207,0.9212730318258,47.7064220183486,61.0146250979473,1,1,0,0,0,0,0,2015,0
133,Jægermarken mv,Svendborg,870,49.8740617180984,34.7126436781609,3.2346868547832,55.2560646900270,59.9052225156361,3,1,0,1,1,0,0,2015,0
134,Byparken/Skovparken,Svendborg,1206,56.5000000000000,48.5000000000000,3.3300000000000,59.8000000000000,53.2000000000000,4,1,0,1,1,1,1,2015,0
135,Varbergparken,Haderslev,448,57.8893280632411,78.1250000000000,2.9462738301560,48.8095238095238,58.0192862891421,3,1,1,1,0,0,0,2015,0
136,Kløvermarken/Hvedemarken mv,Sønderborg,924,41.7591059602649,32.7922077922078,1.8206338503034,44.8548812664908,64.1587593800248,1,1,0,0,0,0,0,2015,0
137,Nørager/Søstjernevej m.fl,Sønderborg,1264,48.5000000000000,60.0000000000000,1.9300000000000,49.6000000000000,59.0000000000000,2,1,1,0,0,0,0,2015,0
138,Parkvænget mv,Esbjerg,1089,29.6599020293912,3.4195933456562,1.2937230474365,39.8791540785499,75.3940487239394,0,0,0,0,0,0,0,2015,0
139,Spangsbjergparken,Esbjerg,1142,27.8715083798883,12.5218914185639,1.5812431842966,40.1055408970976,72.8076787093375,0,0,0,0,0,0,0,2015,0
140,Præstebakken/Syrenparken,Esbjerg,1502,42.1000000000000,37.7000000000000,2.8200000000000,60.9000000000000,61.4000000000000,3,1,0,1,1,0,1,2015,0
141,Stengårdsvej,Esbjerg,1810,46.7000000000000,63.9000000000000,2.5600000000000,61.5000000000000,56.2000000000000,3,1,1,0,1,0,1,2015,0
142,Hedelundgårdparken,Esbjerg,2396,45.2000000000000,27.9000000000000,2.5600000000000,59.0000000000000,62.5000000000000,2,1,0,0,1,0,0,2015,0
143,Ådalshaven/Åhaven,Esbjerg,1315,34.0353679406731,6.9201520912548,1.3692162417375,42.4812030075188,74.3161443093884,0,0,0,0,0,0,0,2015,0
144,Høje Kolstrup,Aabenraa,1427,48.3000000000000,36.5000000000000,1.8200000000000,53.9000000000000,62.0000000000000,2,1,0,0,1,0,0,2015,0
145,Korskærparken,Fredericia,1898,43.8000000000000,49.6000000000000,2.7300000000000,54.4000000000000,62.4000000000000,3,1,0,1,1,0,1,2015,0
146,Søndermarksvej mv,Fredericia,1113,44.4000000000000,25.8000000000000,2.4300000000000,58.3000000000000,66.1000000000000,2,1,0,0,1,0,0,2015,0
147,Sønderbro,Horsens,1423,46.9000000000000,37.7000000000000,1.1800000000000,59.8000000000000,60.1000000000000,2,1,0,0,1,0,0,2015,0
148,Sundparken,Horsens,1451,53.0000000000000,67.7000000000000,1.2400000000000,61.4000000000000,55.3000000000000,3,1,1,0,1,0,1,2015,0
149,Munkebo,Kolding,1440,44.9000000000000,58.8000000000000,1.7900000000000,50.6000000000000,61.9000000000000,3,1,1,0,1,0,1,2015,0
150,Skovvejen/Skovparken,Kolding,2465,43.1000000000000,60.7000000000000,2.5300000000000,56.2000000000000,58.1000000000000,3,1,1,0,1,0,1,2015,0
151,Finlandsparken,Vejle,1652,43.4000000000000,70.3000000000000,2.4900000000000,55.9000000000000,60.6000000000000,3,1,1,0,1,0,1,2015,0
152,Løget By,Vejle,1552,49.4000000000000,43.2000000000000,2.0900000000000,59.5000000000000,59.4000000000000,2,1,0,0,1,0,0,2015,0
